Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,5,0.9099999999999999,0.31,0.3724147745089591
75% Corpus,5,0.9099999999999999,0.61,0.4000134495948203
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.4361739885440638
75% Corpus,5,0.9099999999999999,symmetric,0.32995960678136854
75% Corpus,5,symmetric,0.01,0.33621221112714245
75% Corpus,5,symmetric,0.31,0.39721762814167133
75% Corpus,5,symmetric,0.61,0.4217447087009134
75% Corpus,5,symmetric,0.9099999999999999,0.4595942984353599
75% Corpus,5,symmetric,symmetric,0.38065275010158256
75% Corpus,5,asymmetric,0.01,0.33593524316571066
75% Corpus,5,asymmetric,0.31,0.37363660229842804
75% Corpus,5,asymmetric,0.61,0.4140679415581359
75% Corpus,5,asymmetric,0.9099999999999999,0.46300180912273675
75% Corpus,5,asymmetric,symmetric,0.3681147908931809
75% Corpus,6,0.01,0.01,0.3272713301026978
75% Corpus,6,0.01,0.31,0.3912598559366577
75% Corpus,6,0.01,0.61,0.42283392708224854
75% Corpus,6,0.01,0.9099999999999999,0.49064420783153356
75% Corpus,6,0.01,symmetric,0.3547822636710599
75% Corpus,6,0.31,0.01,0.3308160799107837
75% Corpus,6,0.31,0.31,0.38999795110133734
75% Corpus,6,0.31,0.61,0.4238039784828224
75% Corpus,6,0.31,0.9099999999999999,0.4407760784766478
75% Corpus,6,0.31,symmetric,0.36146785908577345
75% Corpus,6,0.61,0.01,0.32369796264338335
75% Corpus,6,0.61,0.31,0.35885522056300256
75% Corpus,6,0.61,0.61,0.40806483401941557
75% Corpus,6,0.61,0.9099999999999999,0.42782250860721066
75% Corpus,6,0.61,symmetric,0.3552734244486315
75% Corpus,6,0.9099999999999999,0.01,0.3276932106391342
75% Corpus,6,0.9099999999999999,0.31,0.3541158484775098
75% Corpus,6,0.9099999999999999,0.61,0.40666419993567615
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.44355119175305174
75% Corpus,6,0.9099999999999999,symmetric,0.3391081013678615
75% Corpus,6,symmetric,0.01,0.33841183687070875
75% Corpus,6,symmetric,0.31,0.37607162953875034
75% Corpus,6,symmetric,0.61,0.4356218527039621
75% Corpus,6,symmetric,0.9099999999999999,0.44220524051073806
75% Corpus,6,symmetric,symmetric,0.3693830602069035
75% Corpus,6,asymmetric,0.01,0.3369541903248606
75% Corpus,6,asymmetric,0.31,0.3644723676661724
75% Corpus,6,asymmetric,0.61,0.38829187523870573
75% Corpus,6,asymmetric,0.9099999999999999,0.47212619551683843
75% Corpus,6,asymmetric,symmetric,0.36799700446860845
75% Corpus,7,0.01,0.01,0.3303849482840001
75% Corpus,7,0.01,0.31,0.3829440773421683
75% Corpus,7,0.01,0.61,0.4156953207742105
75% Corpus,7,0.01,0.9099999999999999,0.45844992057048267
75% Corpus,7,0.01,symmetric,0.3581321018977881
75% Corpus,7,0.31,0.01,0.32503756182306326
75% Corpus,7,0.31,0.31,0.40469995672940834
75% Corpus,7,0.31,0.61,0.42663113278129483
75% Corpus,7,0.31,0.9099999999999999,0.4477328698653144
75% Corpus,7,0.31,symmetric,0.3724300823221752
75% Corpus,7,0.61,0.01,0.32390739195180884
75% Corpus,7,0.61,0.31,0.3523520252935532
75% Corpus,7,0.61,0.61,0.393034492851416
75% Corpus,7,0.61,0.9099999999999999,0.45456378742563236
75% Corpus,7,0.61,symmetric,0.3441900946607689
75% Corpus,7,0.9099999999999999,0.01,0.3227000730031462
75% Corpus,7,0.9099999999999999,0.31,0.37657692825430356
75% Corpus,7,0.9099999999999999,0.61,0.40871947732894165
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.43903266736231605
75% Corpus,7,0.9099999999999999,symmetric,0.3304567390772354
75% Corpus,7,symmetric,0.01,0.32903716191116356
75% Corpus,7,symmetric,0.31,0.40685153272454694
75% Corpus,7,symmetric,0.61,0.43655471927831035
75% Corpus,7,symmetric,0.9099999999999999,0.4531130963799012
75% Corpus,7,symmetric,symmetric,0.3607419661549568
75% Corpus,7,asymmetric,0.01,0.3315909040303487
75% Corpus,7,asymmetric,0.31,0.37603452508299645
75% Corpus,7,asymmetric,0.61,0.40217713400713084
75% Corpus,7,asymmetric,0.9099999999999999,0.48422028025472497
75% Corpus,7,asymmetric,symmetric,0.3708324898566745
75% Corpus,8,0.01,0.01,0.3282684448189777
75% Corpus,8,0.01,0.31,0.3833903942104301
75% Corpus,8,0.01,0.61,0.4286154381317431
75% Corpus,8,0.01,0.9099999999999999,0.4621421186062894
75% Corpus,8,0.01,symmetric,0.3743828383134077
75% Corpus,8,0.31,0.01,0.3274635131804052
75% Corpus,8,0.31,0.31,0.38755384300264784
75% Corpus,8,0.31,0.61,0.43456331335489223
75% Corpus,8,0.31,0.9099999999999999,0.450110780318854
75% Corpus,8,0.31,symmetric,0.3613005678992128
75% Corpus,8,0.61,0.01,0.32547158772941226
75% Corpus,8,0.61,0.31,0.3669563861932246
75% Corpus,8,0.61,0.61,0.3785633813917605
75% Corpus,8,0.61,0.9099999999999999,0.4647580369332611
75% Corpus,8,0.61,symmetric,0.36762767140218533
75% Corpus,8,0.9099999999999999,0.01,0.3276932106391342
75% Corpus,8,0.9099999999999999,0.31,0.339275432046802
75% Corpus,8,0.9099999999999999,0.61,0.4034652577923631
75% Corpus,8,0.9099999999999999,0.9099999999999999,0.4398930586783668
75% Corpus,8,0.9099999999999999,symmetric,0.33774265356533306
75% Corpus,8,symmetric,0.01,0.33454492401979696
75% Corpus,8,symmetric,0.31,0.38197025248740357
75% Corpus,8,symmetric,0.61,0.4401164581001503
75% Corpus,8,symmetric,0.9099999999999999,0.4612536959627721
75% Corpus,8,symmetric,symmetric,0.3653945337974702
75% Corpus,8,asymmetric,0.01,0.3369541903248606
75% Corpus,8,asymmetric,0.31,0.38430784797752676
75% Corpus,8,asymmetric,0.61,0.38679691981907854
75% Corpus,8,asymmetric,0.9099999999999999,0.47684499746242165
75% Corpus,8,asymmetric,symmetric,0.35752036313182584
75% Corpus,9,0.01,0.01,0.3378350567281837
75% Corpus,9,0.01,0.31,0.385860657670151
75% Corpus,9,0.01,0.61,0.42442857593385075
75% Corpus,9,0.01,0.9099999999999999,0.462137474681202
75% Corpus,9,0.01,symmetric,0.3756354763099931
75% Corpus,9,0.31,0.01,0.348003655930398
75% Corpus,9,0.31,0.31,0.3979538640074053
75% Corpus,9,0.31,0.61,0.4428939556651459
75% Corpus,9,0.31,0.9099999999999999,0.4597418482485286
75% Corpus,9,0.31,symmetric,0.38074578539046766
75% Corpus,9,0.61,0.01,0.3196286825476389
75% Corpus,9,0.61,0.31,0.38639298465481886
75% Corpus,9,0.61,0.61,0.3925401904094748
75% Corpus,9,0.61,0.9099999999999999,0.4257587333388478
75% Corpus,9,0.61,symmetric,0.3659510003125762
75% Corpus,9,0.9099999999999999,0.01,0.3228989333974642
75% Corpus,9,0.9099999999999999,0.31,0.37912987400092385
75% Corpus,9,0.9099999999999999,0.61,0.38657318095693405
75% Corpus,9,0.9099999999999999,0.9099999999999999,0.42829079222692795
75% Corpus,9,0.9099999999999999,symmetric,0.32541839744479895
75% Corpus,9,symmetric,0.01,0.3294829390162386
75% Corpus,9,symmetric,0.31,0.3851521810738495
75% Corpus,9,symmetric,0.61,0.442721035686218
75% Corpus,9,symmetric,0.9099999999999999,0.44673126216806275
75% Corpus,9,symmetric,symmetric,0.3626304742813448
75% Corpus,9,asymmetric,0.01,0.3387463255948685
75% Corpus,9,asymmetric,0.31,0.3692260463470353
75% Corpus,9,asymmetric,0.61,0.41502584769776885
75% Corpus,9,asymmetric,0.9099999999999999,0.46141084659652165
75% Corpus,9,asymmetric,symmetric,0.36001941483788735
75% Corpus,10,0.01,0.01,0.3366156112705022
75% Corpus,10,0.01,0.31,0.36630272405637004
75% Corpus,10,0.01,0.61,0.4270592092760029
75% Corpus,10,0.01,0.9099999999999999,0.4438632506042052
75% Corpus,10,0.01,symmetric,0.3641100564691939
75% Corpus,10,0.31,0.01,0.32884867114599364
75% Corpus,10,0.31,0.31,0.3664898863995558
75% Corpus,10,0.31,0.61,0.43026433023936883
75% Corpus,10,0.31,0.9099999999999999,0.45264459045805816
75% Corpus,10,0.31,symmetric,0.3586838954251916
75% Corpus,10,0.61,0.01,0.3241812372127728
75% Corpus,10,0.61,0.31,0.36801694725549455
75% Corpus,10,0.61,0.61,0.4039561925963556
75% Corpus,10,0.61,0.9099999999999999,0.45289202760595637
75% Corpus,10,0.61,symmetric,0.35617227683974617
75% Corpus,10,0.9099999999999999,0.01,0.324870342626446
75% Corpus,10,0.9099999999999999,0.31,0.37427482314040433
75% Corpus,10,0.9099999999999999,0.61,0.41094971044030154
75% Corpus,10,0.9099999999999999,0.9099999999999999,0.4329781856956939
75% Corpus,10,0.9099999999999999,symmetric,0.3259212904043382
75% Corpus,10,symmetric,0.01,0.3244489595711918
75% Corpus,10,symmetric,0.31,0.3863320456446335
75% Corpus,10,symmetric,0.61,0.4294169566822522
75% Corpus,10,symmetric,0.9099999999999999,0.45765669178333457
75% Corpus,10,symmetric,symmetric,0.36258059437510093
75% Corpus,10,asymmetric,0.01,0.33689426285143637
75% Corpus,10,asymmetric,0.31,0.36660717501398654
75% Corpus,10,asymmetric,0.61,0.3955612254556805
75% Corpus,10,asymmetric,0.9099999999999999,0.4794333900708203
75% Corpus,10,asymmetric,symmetric,0.36628595930419416
100% Corpus,2,0.01,0.01,0.3394074691194283
100% Corpus,2,0.01,0.31,0.3669058702287652
100% Corpus,2,0.01,0.61,0.418658750679049
100% Corpus,2,0.01,0.9099999999999999,0.4716541015303795
100% Corpus,2,0.01,symmetric,0.35808502075016435
100% Corpus,2,0.31,0.01,0.3351980532957194
100% Corpus,2,0.31,0.31,0.3875742181681174
100% Corpus,2,0.31,0.61,0.44392885649244784
100% Corpus,2,0.31,0.9099999999999999,0.45487883328144213
100% Corpus,2,0.31,symmetric,0.3745324778919975
100% Corpus,2,0.61,0.01,0.3235645440296238
100% Corpus,2,0.61,0.31,0.3493880339852823
100% Corpus,2,0.61,0.61,0.39323992400721536
100% Corpus,2,0.61,0.9099999999999999,0.4215195231827787
100% Corpus,2,0.61,symmetric,0.36611841503471687
100% Corpus,2,0.9099999999999999,0.01,0.3276932106391342
100% Corpus,2,0.9099999999999999,0.31,0.34378851512267716
100% Corpus,2,0.9099999999999999,0.61,0.40894325906550677
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.3966347244516214
100% Corpus,2,0.9099999999999999,symmetric,0.32293112389449463
100% Corpus,2,symmetric,0.01,0.3244489595711918
100% Corpus,2,symmetric,0.31,0.3733464634428531
100% Corpus,2,symmetric,0.61,0.44015031608126315
100% Corpus,2,symmetric,0.9099999999999999,0.4488583027302845
100% Corpus,2,symmetric,symmetric,0.3650130387287936
100% Corpus,2,asymmetric,0.01,0.3351868908729619
100% Corpus,2,asymmetric,0.31,0.3720826329624902
100% Corpus,2,asymmetric,0.61,0.41236630526738693
100% Corpus,2,asymmetric,0.9099999999999999,0.4605150711832901
100% Corpus,2,asymmetric,symmetric,0.32877242335605533
100% Corpus,3,0.01,0.01,0.33823617941678163
100% Corpus,3,0.01,0.31,0.3725333032976986
100% Corpus,3,0.01,0.61,0.42436094266333796
100% Corpus,3,0.01,0.9099999999999999,0.47662206733443463
100% Corpus,3,0.01,symmetric,0.3691981924059692
100% Corpus,3,0.31,0.01,0.34872128229569
100% Corpus,3,0.31,0.31,0.38460187990730293
100% Corpus,3,0.31,0.61,0.42755880717557115
100% Corpus,3,0.31,0.9099999999999999,0.4404017567666031
100% Corpus,3,0.31,symmetric,0.37397092238133
100% Corpus,3,0.61,0.01,0.3258981754642762
100% Corpus,3,0.61,0.31,0.38317602086710895
100% Corpus,3,0.61,0.61,0.37748859171189586
100% Corpus,3,0.61,0.9099999999999999,0.4676134293495974
100% Corpus,3,0.61,symmetric,0.3719478608330078
100% Corpus,3,0.9099999999999999,0.01,0.3265781572268175
100% Corpus,3,0.9099999999999999,0.31,0.3807655139206814
100% Corpus,3,0.9099999999999999,0.61,0.4070944812548015
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.42244360839769685
100% Corpus,3,0.9099999999999999,symmetric,0.33483756244275764
100% Corpus,3,symmetric,0.01,0.3365096728767507
100% Corpus,3,symmetric,0.31,0.3906639308290287
100% Corpus,3,symmetric,0.61,0.42793074155300675
100% Corpus,3,symmetric,0.9099999999999999,0.4704885526113989
100% Corpus,3,symmetric,symmetric,0.36714609223308126
100% Corpus,3,asymmetric,0.01,0.3356477100522758
100% Corpus,3,asymmetric,0.31,0.35683470549605484
100% Corpus,3,asymmetric,0.61,0.42974531752187256
100% Corpus,3,asymmetric,0.9099999999999999,0.4664390335498344
100% Corpus,3,asymmetric,symmetric,0.35151507562870565
100% Corpus,4,0.01,0.01,0.3317848299277348
100% Corpus,4,0.01,0.31,0.38986001371339396
100% Corpus,4,0.01,0.61,0.4201933353334346
100% Corpus,4,0.01,0.9099999999999999,0.47869349815151774
100% Corpus,4,0.01,symmetric,0.3793840449087186
100% Corpus,4,0.31,0.01,0.3486842655367116
